case_id,state,district,court_type,case_type,sub_type,filing_date,first_hearing_date,last_hearing_date,judgment_date,duration_days,adjournment_count,hearing_count,avg_hearing_gap_days,stage_count,case_complexity,evidence_quality,lawyer_experience_years,lawyer_win_rate,judge_experience_years,court_backlog,number_of_parties,delay_tactics_used,opponent_aggressiveness,evidence_delay_days,procedural_abuse_score,outcome,resolution_type,data_quality_flag,out_of_distribution_flag
LC002231,Delhi,South Delhi,District Court,civil,Easement,2010-12-06,2011-02-04,2012-12-31,2013-01-23,779,12,13,59,4,0.345,0.073,22,0.419,17,2359,4,true,0.875,19,0.341,Dismissed,Dismissed on Merit,clean,true
LC002232,Tamil Nadu,Tiruppur,High Court,civil,Succession,2015-11-16,2016-02-01,2017-05-14,2017-07-02,594,5,9,66,5,0.364,0.328,10,0.577,28,2696,5,true,0.543,4,0.105,Plaintiff Won,Default Judgment,clean,false
LC002233,Nagaland,Kohima,Consumer Forum,criminal,Robbery,2018-12-13,2019-01-23,2019-12-07,2020-02-05,419,10,17,24,8,0.442,0.529,19,0.765,15,3771,2,false,0.798,13,0.498,Partially Allowed,Dismissed on Merit,clean,false
LC002234,Maharashtra,Thane,Civil Court,civil,Injunction,2022-09-13,2022-10-08,2024-04-14,2024-05-19,614,3,6,102,2,0.571,0.147,16,0.651,9,2209,2,true,0.184,43,0.322,Plaintiff Won,Summary Judgment,clean,false
LC002235,Ladakh,Leh,Sessions Court,criminal,Theft,2010-06-09,2010-08-22,2010-12-01,2011-01-06,211,13,17,15,3,0.353,0.679,8,0.435,8,2184,3,true,0.744,4,0.465,Settled,Mediation,clean,false
LC002236,Uttar Pradesh,Ghaziabad,District Court,civil,Matrimonial,2013-07-13,2013-10-08,2015-08-05,2015-09-08,787,8,16,49,7,0.762,0.508,21,0.777,6,2701,2,true,0.714,12,0.468,Plaintiff Won,Trial,clean,false
LC002237,Gujarat,Mehsana,District Court,civil,Contract Breach,2010-01-04,2010-02-04,2011-07-17,2011-08-28,601,3,9,66,7,0.535,0.231,20,0.506,11,2795,3,false,0.151,1,0,Defendant Won,Default Judgment,clean,false
LC002238,Uttar Pradesh,Varanasi,Family Court,criminal,Kidnapping,2015-03-03,2015-03-28,2016-04-09,2016-06-04,459,10,17,27,4,0.596,0.768,15,0.469,24,2289,4,false,0.689,3,0.445,Partially Allowed,Summary Judgment,clean,false
LC002239,Telangana,Rangareddy,District Court,criminal,Dowry Harassment,2013-01-12,2013-03-18,2014-06-10,2014-06-16,520,11,13,40,4,0.841,0.173,1,0.429,15,4360,3,false,0.788,36,0.517,Partially Allowed,Trial,clean,false
LC002240,Karnataka,Mysuru,High Court,criminal,Murder,2016-10-01,2016-10-19,2017-07-16,2017-08-15,318,15,16,19,6,0.461,0.534,6,0.455,7,3271,4,true,0.786,0,0.391,Settled,Lok Adalat,clean,false
LC002241,Mizoram,Lunglei,District Court,civil,Injunction,2021-03-23,2021-04-15,2023-01-19,2023-02-17,696,6,9,77,7,0.945,0.028,14,0.495,18,2211,2,true,0.289,2,0.291,Plaintiff Won,Summary Judgment,clean,false
LC002242,Arunachal Pradesh,Itanagar,District Court,civil,Injunction,2011-02-20,2011-03-17,2012-06-24,2012-08-03,530,5,7,75,4,0.359,0.423,5,0.859,12,2935,3,false,0.27,60,0.517,Plaintiff Won,Dismissed on Merit,clean,false
LC002243,Uttarakhand,Nainital,Consumer Forum,criminal,Cheating,2022-11-27,2022-12-30,2023-10-24,2023-12-04,372,7,9,41,4,0.265,0.299,11,0.584,11,1451,3,true,0.579,23,0.308,Settled,Settlement,noisy,false
LC002244,Madhya Pradesh,Jabalpur,Civil Court,criminal,Assault,2021-11-11,2022-01-06,2023-10-12,2023-12-10,759,7,13,58,8,0.827,0.314,4,0.562,16,3498,2,false,0.141,32,0.246,Defendant Won,Dismissed on Merit,clean,false
LC002245,Kerala,Thrissur,Sessions Court,criminal,Dowry Harassment,2012-04-30,2012-06-23,2013-06-18,2013-06-23,419,12,17,24,4,0.475,0.11,5,0.661,22,3997,3,true,0.617,48,0.525,Settled,Mediation,noisy,false
LC002246,Manipur,Thoubal,Labour Court,criminal,Cybercrime,2012-07-08,2012-09-10,2013-06-10,2013-06-19,346,6,14,24,4,0.144,0.15,10,0.595,14,559,6,true,0.396,47,0.498,Dismissed,Default Judgment,clean,false
LC002247,Haryana,Karnal,Sessions Court,criminal,Drug Trafficking,2010-09-15,2010-11-03,2012-04-11,2012-05-07,600,7,10,60,8,0.645,0.507,15,0.837,4,1925,2,true,0.42,1,0.37,Dismissed,Trial,noisy,false
LC002248,Tamil Nadu,Vellore,Family Court,civil,Injunction,2018-09-26,2018-11-22,2020-01-01,2020-02-19,511,2,3,120,5,0.902,0.264,9,0.535,6,1616,6,false,0.277,100,0.441,Dismissed,Trial,clean,false
LC002249,Bihar,Patna,Family Court,civil,Partition,2018-07-20,2018-08-25,2019-09-07,2019-10-28,465,7,9,51,4,0.746,0.589,4,0.556,25,2149,3,false,0.392,11,0.181,Defendant Won,Dismissed on Merit,clean,false
LC002250,Kerala,Thiruvananthapuram,Magistrate Court,civil,Matrimonial,2022-08-01,2022-09-06,2023-11-20,2023-12-16,502,6,11,45,2,0.792,0.712,15,0.431,11,2864,3,true,0.195,13,0.08,Dismissed,Dismissed on Merit,noisy,false
LC002251,West Bengal,Burdwan,Sessions Court,criminal,Fraud,2018-05-18,2018-07-15,2020-05-01,2020-05-06,719,7,14,51,5,0.7,0.473,24,0.798,23,1250,2,true,0.815,51,0.383,Defendant Won,Dismissed on Merit,clean,false
LC002252,Kerala,Palakkad,Consumer Forum,criminal,Drug Trafficking,2021-06-07,2021-08-05,2021-11-25,2021-12-02,178,10,16,15,2,0.667,0.37,1,0.449,2,3487,2,true,0.418,29,0.238,Withdrawn,Settlement,clean,false
LC002253,Uttar Pradesh,Aligarh,Labour Court,criminal,Assault,2017-01-12,2017-03-28,2019-03-18,2019-04-17,825,4,5,120,3,0.78,0.025,13,0.446,37,2357,2,false,0.266,17,0.431,Defendant Won,Dismissed on Merit,clean,false
LC002254,Tamil Nadu,Erode,Consumer Forum,civil,Contract Breach,2021-04-19,2021-06-17,2022-06-05,2022-07-03,440,1,5,88,7,0.527,0.393,20,0.373,19,1502,2,false,0.363,5,0.401,Defendant Won,Trial,clean,false
LC002255,Bihar,Sitamarhi,Consumer Forum,civil,Contract Breach,2011-12-25,2012-02-03,2013-05-20,2013-06-24,547,11,19,28,2,0.596,0.633,19,0.473,23,2769,3,true,0.802,13,0.554,Plaintiff Won,Summary Judgment,noisy,false
LC002256,Maharashtra,Kolhapur,Family Court,criminal,Dowry Harassment,2012-01-21,2012-02-20,2013-07-09,2013-08-09,566,9,15,37,2,0.633,0.195,25,0.411,12,3472,2,true,0.158,5,0.248,Appeal Pending,Dismissed on Merit,clean,false
LC002257,Kerala,Kozhikode,Consumer Forum,criminal,Dowry Harassment,2015-04-26,2015-07-19,2015-07-31,2015-08-01,97,5,9,15,3,0.812,0.139,20,0.649,22,2479,3,false,0.273,27,0.402,Withdrawn,Settlement,clean,false
LC002258,Arunachal Pradesh,Itanagar,Consumer Forum,criminal,Assault,2021-02-11,2021-03-16,2022-09-04,2022-10-18,614,3,5,120,6,0.73,0.358,14,0.783,20,2559,6,true,0.092,46,0.171,Appeal Pending,Default Judgment,clean,false
LC002259,Uttar Pradesh,Agra,Civil Court,criminal,Fraud,2021-01-11,2021-03-24,2023-03-28,2023-04-11,820,7,10,82,8,0.552,0.159,5,0.489,20,3890,6,false,0.485,1,0.422,Defendant Won,Dismissed on Merit,clean,false
LC002260,Telangana,Karimnagar,Labour Court,civil,Easement,2012-04-04,2012-04-24,2014-09-28,2014-10-03,912,5,11,82,8,0.579,0.259,13,0.779,17,3230,5,true,0.269,16,0.235,Defendant Won,Trial,clean,false
LC002261,Tamil Nadu,Salem,Consumer Forum,criminal,Fraud,2019-11-17,2020-01-09,2020-11-27,2020-12-01,380,6,8,47,6,0.541,0.406,17,0.319,9,1208,2,true,0.512,2,0.368,Appeal Pending,Summary Judgment,clean,false
LC002262,Himachal Pradesh,Solan,Civil Court,criminal,Murder,2021-07-20,2021-09-14,2021-12-30,2022-02-08,203,12,18,15,4,0.869,0.178,15,0.609,12,1647,3,true,0.721,35,0.453,Withdrawn,Settlement,clean,false
LC002263,Uttar Pradesh,Agra,District Court,criminal,Cheating,2019-06-27,2019-08-17,2019-12-18,2020-01-21,208,3,4,52,3,0.348,0.814,4,0.479,14,1644,2,false,0.215,9,0.087,Plaintiff Won,Summary Judgment,clean,false
LC002264,Bihar,Ara,Sessions Court,civil,Partition,2021-11-09,2022-01-20,2022-03-05,2022-04-25,167,2,6,27,4,0.527,0.624,28,0.557,15,1018,2,false,0.129,15,0.09,Settled,Mediation,clean,false
LC002265,Odisha,Khordha,District Court,criminal,Dowry Harassment,2022-07-22,2022-08-11,2024-03-26,2024-05-14,662,10,12,55,6,0.816,0.53,6,0.666,17,2057,2,true,0.838,2,0.47,Partially Allowed,Summary Judgment,clean,false
LC002266,Odisha,Sundargarh,Family Court,criminal,Drug Trafficking,2015-10-30,2016-01-23,2016-03-21,2016-04-15,168,5,12,15,4,0.599,0.797,10,0.562,17,1614,3,false,0.222,2,0.242,Settled,Lok Adalat,clean,false
LC002267,Telangana,Medchal-Malkajgiri,Magistrate Court,criminal,Theft,2022-12-07,2023-02-20,2023-12-06,2024-01-24,413,7,12,34,4,0.43,0.535,23,0.811,26,2035,2,true,0.354,10,0.311,Defendant Won,Summary Judgment,clean,false
LC002268,Maharashtra,Nashik,Civil Court,criminal,Drug Trafficking,2015-01-15,2015-02-28,2016-03-12,2016-04-15,456,6,13,35,3,0.712,0.312,5,0.322,17,1542,2,false,0.651,7,0.363,Partially Allowed,Dismissed on Merit,clean,false
LC002269,Bihar,Bhagalpur,Consumer Forum,civil,Mortgage,2021-01-26,2021-03-26,2024-01-20,2024-02-16,1116,9,17,65,4,0.782,0.34,13,0.644,19,3348,3,true,0.825,43,0.333,Plaintiff Won,Dismissed on Merit,clean,false
LC002270,Chhattisgarh,Bilaspur,High Court,criminal,Theft,2013-10-19,2013-12-19,2014-10-26,2014-12-09,416,5,6,69,6,0.206,0.394,17,0.681,19,910,2,true,0.155,0,0.316,Plaintiff Won,Trial,clean,false
LC002271,Uttar Pradesh,Meerut,Sessions Court,civil,Easement,2016-12-12,2017-01-04,2017-11-24,2017-11-30,353,11,14,25,7,0.101,0.47,25,0.73,24,3848,2,false,0.581,32,0.311,Settled,Settlement,clean,false
LC002272,Tamil Nadu,Erode,Labour Court,criminal,Murder,2018-05-21,2018-06-15,2019-08-26,2019-10-18,515,8,12,42,3,0.827,0.635,19,0.565,8,2319,5,false,0.646,11,0.552,Dismissed,Default Judgment,clean,false
LC002273,Kerala,Ernakulam,Sessions Court,civil,Contract Breach,2014-12-16,2015-03-15,2015-11-04,2015-11-14,333,9,16,20,2,0.349,0.502,14,0.516,17,3232,3,false,0.752,0,0.475,Settled,Mediation,clean,false
LC002274,Delhi,East Delhi,Labour Court,criminal,Assault,2018-06-30,2018-08-16,2019-04-06,2019-05-23,327,4,6,54,7,0.146,0.52,26,0.557,18,2097,4,false,0.359,2,0.489,Appeal Pending,Dismissed on Merit,clean,false
LC002275,Andhra Pradesh,Vizianagaram,Sessions Court,civil,Easement,2017-07-22,2017-09-09,2018-12-08,2019-02-02,560,7,15,37,5,0.336,0.475,7,0.672,2,2564,4,false,0.723,15,0.421,Appeal Pending,Trial,clean,false
LC002276,Delhi,South West Delhi,Labour Court,civil,Consumer Complaint,2018-10-15,2018-11-17,2019-09-05,2019-10-25,375,8,14,26,5,0.111,0.502,14,0.551,13,2108,5,false,0.691,15,0.518,Plaintiff Won,Trial,clean,false
LC002277,Sikkim,North Sikkim,Labour Court,criminal,Kidnapping,2010-02-27,2010-04-16,2011-04-15,2011-05-14,441,10,16,27,2,0.616,0.577,24,0.786,13,2932,2,false,0.517,14,0.261,Dismissed,Summary Judgment,clean,false
LC002278,Karnataka,Ballari,Family Court,criminal,Robbery,2020-05-08,2020-06-09,2021-09-20,2021-10-06,516,6,14,36,4,0.382,0.216,19,0.415,9,1771,4,false,0.378,50,0.336,Defendant Won,Dismissed on Merit,clean,false
LC002279,Uttar Pradesh,Lucknow,Magistrate Court,criminal,Fraud,2021-08-05,2021-09-21,2023-08-12,2023-08-31,756,4,5,120,7,0.76,0.447,11,0.559,8,3092,3,true,0.431,21,0.239,Plaintiff Won,Summary Judgment,clean,false
LC002280,Maharashtra,Thane,Sessions Court,civil,Property Dispute,2010-10-17,2010-11-17,2012-07-05,2012-09-02,686,8,14,49,2,0.256,0.34,13,0.694,23,2351,3,false,0.321,0,0.317,Defendant Won,Dismissed on Merit,clean,false
LC002281,Madhya Pradesh,Gwalior,Consumer Forum,civil,Consumer Complaint,2019-09-26,2019-11-24,2021-01-31,2021-02-07,500,3,6,83,7,0.726,0.358,16,0.728,22,1232,2,false,0.373,27,0.233,Defendant Won,Summary Judgment,clean,false
LC002282,Jharkhand,Deoghar,Labour Court,civil,Contract Breach,2019-12-12,2020-01-05,2020-12-11,2020-12-13,367,7,10,36,6,0.127,0.483,12,0.492,17,4642,4,true,0.338,22,0.132,Withdrawn,Settlement,clean,false
LC002283,Jammu and Kashmir,Jammu,High Court,civil,Partition,2012-03-20,2012-06-14,2014-02-26,2014-03-31,741,4,5,120,4,0.6,0.39,11,0.74,2,3678,2,false,0.121,82,0.216,Appeal Pending,Summary Judgment,clean,false
LC002284,Madhya Pradesh,Satna,District Court,criminal,Robbery,2019-08-11,2019-10-18,2021-02-17,2021-03-24,591,2,9,65,3,0.901,0.25,11,0.378,13,1404,2,false,0.438,21,0.297,Dismissed,Summary Judgment,clean,false
LC002285,Karnataka,Belagavi,District Court,criminal,Drug Trafficking,2012-05-20,2012-07-31,2012-12-22,2012-12-30,224,5,7,32,5,0.535,0.478,9,0.293,14,3000,3,false,0.083,46,0.391,Withdrawn,Settlement,clean,false
LC002286,Delhi,North East Delhi,Labour Court,civil,Partition,2013-09-01,2013-09-19,2014-12-11,2014-12-21,476,3,9,52,6,0.646,0.357,11,0.577,2,1946,2,true,0.389,3,0.392,Partially Allowed,Default Judgment,clean,false
LC002287,West Bengal,South 24 Parganas,Family Court,civil,Succession,2020-04-17,2020-06-01,2022-09-13,2022-10-12,908,10,13,69,7,0.317,0.575,14,0.708,18,3014,3,true,0.588,2,0.399,Partially Allowed,Default Judgment,clean,false
LC002288,Telangana,Medchal-Malkajgiri,District Court,civil,Contract Breach,2015-11-02,2015-11-29,2017-03-10,2017-05-02,547,6,10,54,3,0.502,0.242,1,0.535,15,2091,2,true,0.154,6,0.27,Plaintiff Won,Trial,clean,false
LC002289,Telangana,Rangareddy,Family Court,civil,Matrimonial,2018-02-28,2018-05-20,2020-06-17,2020-06-20,843,6,14,60,2,0.237,0.202,5,0.805,17,2989,2,true,0.629,1,0.37,Partially Allowed,Summary Judgment,clean,false
LC002290,Ladakh,Kargil,Sessions Court,criminal,Robbery,2022-12-13,2023-01-23,2023-11-02,2023-11-12,334,6,13,25,8,0.709,0.247,22,0.496,2,3536,2,true,0.026,38,0.021,Settled,Settlement,clean,false
LC002291,West Bengal,Burdwan,Magistrate Court,criminal,Dowry Harassment,2017-07-21,2017-08-05,2018-11-07,2018-11-18,485,7,9,53,3,0.43,0.518,4,0.475,25,1418,2,true,0.543,12,0.262,Defendant Won,Trial,clean,false
LC002292,Himachal Pradesh,Kangra,Sessions Court,criminal,Dowry Harassment,2019-04-21,2019-06-25,2019-10-06,2019-11-25,218,9,12,18,6,0.392,0.232,13,0.225,18,1071,2,false,0.849,17,0.571,Withdrawn,Settlement,noisy,false
LC002293,West Bengal,Howrah,Sessions Court,criminal,Assault,2012-04-19,2012-07-13,2012-11-09,2012-11-30,225,4,9,25,2,0.189,0.53,14,0.581,21,2199,2,false,0.057,11,0.136,Settled,Lok Adalat,clean,false
LC002294,Bihar,Ara,Labour Court,civil,Property Dispute,2017-10-01,2017-12-07,2018-08-25,2018-10-15,379,2,6,63,6,0.743,0.431,13,0.339,6,1505,2,false,0.363,4,0.26,Plaintiff Won,Summary Judgment,clean,true
LC002295,Uttar Pradesh,Agra,Sessions Court,criminal,Drug Trafficking,2019-12-17,2020-02-10,2020-05-31,2020-07-14,210,7,12,17,8,0.381,0.843,1,0.475,18,2098,2,false,0.762,14,0.436,Settled,Settlement,clean,false
LC002296,Maharashtra,Aurangabad,District Court,civil,Partition,2010-08-24,2010-10-31,2011-02-24,2011-04-03,222,6,13,17,6,0.334,0.288,12,0.525,16,2217,3,false,0.572,5,0.376,Settled,Settlement,clean,false
LC002297,Madhya Pradesh,Gwalior,Magistrate Court,civil,Defamation,2022-10-03,2022-10-21,2024-05-09,2024-05-11,586,9,13,45,5,0.865,0.092,12,0.571,2,2165,2,false,0.735,3,0.34,Plaintiff Won,Trial,clean,false
LC002298,Sikkim,West Sikkim,Consumer Forum,civil,Contract Breach,2018-05-22,2018-07-09,2020-03-23,2020-05-09,718,7,12,59,4,0.341,0.388,15,0.479,21,2996,5,true,0.589,59,0.607,Defendant Won,Summary Judgment,clean,false
LC002299,Telangana,Nizamabad,Consumer Forum,criminal,Cheating,2022-03-11,2022-05-04,2023-11-03,2023-12-10,639,9,16,39,5,0.639,0.83,21,0.513,21,3236,2,false,0.657,9,0.35,Dismissed,Trial,clean,false
LC002300,Kerala,Kozhikode,Civil Court,civil,Matrimonial,2019-03-02,2019-04-24,2020-10-20,2020-11-05,614,2,5,120,4,0.67,0.252,7,0.603,16,2828,2,false,0.052,43,0.293,Plaintiff Won,Summary Judgment,clean,false
LC002301,Maharashtra,Nagpur,Civil Court,civil,Contract Breach,2013-03-05,2013-05-19,2013-08-13,2013-09-28,207,7,13,15,2,0.237,0.795,3,0.548,11,1745,2,false,0.642,0,0.363,Settled,Settlement,clean,false
LC002302,Karnataka,Davanagere,Civil Court,criminal,Robbery,2022-03-09,2022-04-24,2022-10-24,2022-11-24,260,4,8,32,4,0.925,0.682,14,0.63,14,865,3,true,0.471,3,0.153,Plaintiff Won,Trial,clean,false
LC002303,Odisha,Cuttack,High Court,criminal,Kidnapping,2021-09-07,2021-10-12,2023-01-14,2023-02-04,515,4,8,64,6,0.375,0.719,5,0.561,5,3881,3,false,0.385,10,0.342,Defendant Won,Dismissed on Merit,clean,false
LC002304,Karnataka,Bengaluru Urban,Civil Court,criminal,Murder,2014-10-03,2014-11-05,2016-03-14,2016-04-29,574,4,12,47,2,0.718,0.215,12,0.704,16,2899,4,true,0.503,5,0.34,Partially Allowed,Summary Judgment,clean,false
LC002305,Kerala,Kannur,Family Court,civil,Property Dispute,2010-06-04,2010-07-12,2010-12-07,2010-12-11,190,8,10,19,7,0.507,0.537,17,0.596,11,1761,4,false,0.329,9,0.216,Settled,Settlement,noisy,false
LC002306,Tamil Nadu,Tiruchirappalli,Labour Court,criminal,Kidnapping,2017-11-30,2018-01-12,2019-03-31,2019-04-04,490,8,15,32,8,0.378,0.154,7,0.693,2,2713,5,true,0.423,34,0.361,Dismissed,Default Judgment,noisy,false
LC002307,Arunachal Pradesh,Tawang,Sessions Court,criminal,Dowry Harassment,2017-11-17,2017-12-16,2019-05-23,2019-07-18,608,14,22,27,2,0.499,0.543,11,0.68,12,2442,3,true,0.8,13,0.399,Partially Allowed,Trial,clean,false
LC002308,Ladakh,Kargil,Sessions Court,civil,Easement,2016-08-23,2016-09-22,2019-06-14,2019-07-25,1066,6,9,118,6,0.96,0.14,8,0.589,16,2926,2,true,0.317,11,0.195,Defendant Won,Dismissed on Merit,clean,false
LC002309,Uttar Pradesh,Varanasi,Sessions Court,criminal,Drug Trafficking,2016-06-21,2016-08-16,2018-07-01,2018-08-30,800,11,12,66,7,0.539,0.344,4,0.639,16,3589,2,true,0.616,16,0.461,Plaintiff Won,Dismissed on Merit,clean,false
LC002310,Andhra Pradesh,Chittoor,District Court,criminal,Fraud,2018-11-04,2018-12-29,2020-06-09,2020-06-24,598,6,13,46,5,0.404,0.33,8,0.224,25,2193,3,true,0.203,12,0.253,Plaintiff Won,Dismissed on Merit,clean,false
LC002311,Jharkhand,Hazaribagh,Family Court,civil,Injunction,2017-03-16,2017-04-19,2018-07-15,2018-09-10,543,6,7,77,7,0.765,0.478,12,0.553,4,1725,2,false,0.608,67,0.29,Partially Allowed,Dismissed on Merit,clean,false
LC002312,Bihar,Gaya,High Court,civil,Defamation,2019-07-25,2019-10-19,2020-06-23,2020-07-17,358,6,8,44,4,0.339,0.55,21,0.318,7,2566,2,false,0.156,6,0.193,Partially Allowed,Default Judgment,clean,false
LC002313,Puducherry,Puducherry,Family Court,criminal,Cybercrime,2021-12-21,2022-01-05,2023-03-28,2023-04-07,472,9,13,36,7,0.884,0.19,3,0.212,28,1563,2,true,0.891,10,0.376,Partially Allowed,Dismissed on Merit,clean,false
LC002314,Meghalaya,Ri Bhoi,Consumer Forum,civil,Defamation,2016-06-29,2016-09-23,2018-02-06,2018-03-28,637,8,13,49,4,0.137,0.073,14,0.479,2,2986,6,true,0.552,5,0.469,Appeal Pending,Trial,clean,false
LC002315,Uttarakhand,Dehradun,Civil Court,civil,Property Dispute,2022-02-11,2022-02-26,2022-11-15,2022-11-20,282,3,11,25,7,0.515,0.524,14,0.497,28,1186,3,true,0.278,14,0.276,Settled,Lok Adalat,clean,false
LC002316,Bihar,Sitamarhi,Consumer Forum,civil,Succession,2022-02-13,2022-04-17,2023-06-07,2023-07-16,518,0,4,120,7,0.701,0.6,5,0.787,4,1208,2,true,0.303,15,0.231,Dismissed,Trial,clean,false
LC002317,Meghalaya,West Khasi Hills,Family Court,criminal,Kidnapping,2020-08-31,2020-11-26,2021-11-02,2021-11-03,429,7,14,30,3,0.439,0.207,14,0.727,12,2532,4,false,0.46,0,0.33,Defendant Won,Default Judgment,clean,false
LC002318,Madhya Pradesh,Indore,Magistrate Court,civil,Matrimonial,2013-01-08,2013-04-08,2015-05-24,2015-06-07,880,4,9,97,6,0.494,0.49,21,0.298,17,3500,2,true,0.789,73,0.659,Plaintiff Won,Summary Judgment,clean,false
LC002319,Kerala,Palakkad,Consumer Forum,civil,Partition,2018-12-16,2019-02-12,2020-07-02,2020-07-04,566,9,17,33,6,0.603,0.68,12,0.784,24,2268,2,false,0.704,1,0.371,Dismissed,Summary Judgment,clean,false
LC002320,Uttar Pradesh,Bareilly,Civil Court,civil,Defamation,2020-12-28,2021-02-24,2022-10-14,2022-11-17,689,10,18,38,3,0.694,0.402,6,0.566,3,4091,2,false,0.562,8,0.342,Plaintiff Won,Trial,clean,false
LC002321,Odisha,Ganjam,Magistrate Court,criminal,Fraud,2022-02-14,2022-04-22,2023-03-15,2023-05-06,446,9,17,26,6,0.582,0.857,11,0.496,14,4138,3,false,0.423,1,0.369,Plaintiff Won,Summary Judgment,clean,false
LC002322,Sikkim,North Sikkim,Consumer Forum,civil,Partition,2018-06-20,2018-09-04,2020-05-12,2020-06-08,719,7,9,79,7,0.803,0.422,15,0.557,2,3032,2,true,0.336,7,0.283,Plaintiff Won,Trial,clean,false
LC002323,West Bengal,Howrah,High Court,civil,Partition,2014-09-26,2014-11-02,2016-09-16,2016-11-11,777,5,8,97,4,0.928,0.22,10,0.4,29,2583,2,false,0.297,2,0.062,Plaintiff Won,Dismissed on Merit,clean,false
LC002324,Odisha,Mayurbhanj,Sessions Court,civil,Property Dispute,2010-07-17,2010-10-08,2011-07-14,2011-08-24,403,6,8,50,4,0.878,0.713,1,0.534,11,2499,2,false,0.144,11,0.073,Defendant Won,Trial,clean,false
LC002325,Uttar Pradesh,Prayagraj,District Court,criminal,Drug Trafficking,2016-02-09,2016-05-02,2017-02-06,2017-03-08,393,9,13,30,2,0.941,0.545,1,0.696,30,3383,3,true,0.269,1,0.285,Appeal Pending,Summary Judgment,clean,false
LC002326,Jharkhand,Giridih,High Court,civil,Defamation,2016-12-22,2017-01-11,2018-04-27,2018-05-18,512,8,14,36,2,0.476,0.225,11,0.553,20,1500,5,true,0.559,20,0.254,Partially Allowed,Summary Judgment,clean,false
LC002327,Odisha,Balasore,Labour Court,civil,Partition,2018-09-14,2018-10-07,2020-01-21,2020-02-16,520,5,13,40,6,0.564,0.181,1,0.332,17,1338,2,true,0.468,18,0.375,Plaintiff Won,Summary Judgment,clean,false
LC002328,Mizoram,Lunglei,Magistrate Court,civil,Injunction,2019-11-19,2020-01-26,2020-12-23,2021-02-15,454,5,10,45,4,0.88,0.124,11,0.75,2,1337,5,false,0.459,30,0.312,Plaintiff Won,Default Judgment,noisy,false
LC002329,Madhya Pradesh,Gwalior,Labour Court,criminal,Drug Trafficking,2022-01-20,2022-03-20,2023-02-25,2023-03-20,424,6,11,38,3,0.433,0.347,10,0.457,32,1500,3,true,0.511,15,0.279,Defendant Won,Summary Judgment,clean,false
LC002330,Himachal Pradesh,Hamirpur,High Court,criminal,Robbery,2020-03-10,2020-05-19,2021-11-30,2021-12-27,657,9,14,46,7,0.418,0.248,14,0.335,9,2887,5,true,0.559,58,0.354,Defendant Won,Summary Judgment,clean,false
LC002331,Tamil Nadu,Thanjavur,Consumer Forum,criminal,Assault,2012-02-06,2012-02-25,2013-07-07,2013-09-01,573,8,14,40,3,0.461,0.173,1,0.532,26,3574,6,false,0.215,18,0.276,Defendant Won,Summary Judgment,clean,false
LC002332,Uttar Pradesh,Bareilly,District Court,civil,Contract Breach,2022-08-24,2022-11-06,2023-11-30,2024-01-17,511,8,12,42,5,0.815,0.675,19,0.609,36,2996,2,false,0.289,12,0.284,Dismissed,Dismissed on Merit,clean,false
LC002333,Jammu and Kashmir,Rajouri,Civil Court,civil,Defamation,2018-01-06,2018-03-20,2019-01-04,2019-02-05,395,7,9,43,8,0.575,0.647,11,0.803,28,2632,3,true,0.595,10,0.516,Settled,Lok Adalat,clean,false
LC002334,Andhra Pradesh,Krishna,Consumer Forum,civil,Easement,2015-02-14,2015-04-28,2016-02-07,2016-03-27,407,9,10,40,6,0.467,0.848,19,0.497,12,2509,4,false,0.282,8,0.538,Dismissed,Summary Judgment,clean,false
LC002335,Manipur,Imphal East,District Court,criminal,Kidnapping,2013-06-07,2013-09-01,2014-11-08,2014-12-30,571,7,14,40,2,0.556,0.42,1,0.674,18,2931,2,true,0.176,19,0.113,Defendant Won,Trial,clean,false
LC002336,Rajasthan,Sikar,Consumer Forum,criminal,Murder,2021-04-01,2021-04-30,2022-01-23,2022-03-07,340,8,16,21,2,0.525,0.478,3,0.688,34,2233,2,false,0.323,5,0.165,Defendant Won,Summary Judgment,clean,false
LC002337,Uttar Pradesh,Kanpur Nagar,Consumer Forum,civil,Contract Breach,2015-10-11,2015-12-06,2017-06-11,2017-06-30,628,2,3,120,4,0.371,0.286,22,0.49,2,1773,6,true,0.056,59,0.337,Dismissed,Default Judgment,clean,false
LC002338,West Bengal,Kolkata,District Court,civil,Succession,2014-03-04,2014-04-21,2014-10-13,2014-11-15,256,6,14,18,7,0.762,0.33,16,0.526,35,2425,2,false,0.331,4,0.333,Settled,Lok Adalat,noisy,false
LC002339,Maharashtra,Kolhapur,Sessions Court,criminal,Murder,2017-10-19,2017-11-06,2018-04-05,2018-04-30,193,5,10,19,6,0.261,0.653,7,0.681,14,1817,3,false,0.487,3,0.307,Defendant Won,Dismissed on Merit,clean,false
LC002340,Madhya Pradesh,Bhopal,Sessions Court,criminal,Dowry Harassment,2017-04-26,2017-07-01,2018-09-10,2018-11-08,561,5,8,70,7,0.32,0.398,11,0.745,18,3742,6,false,0.302,11,0.295,Partially Allowed,Summary Judgment,clean,false
LC002341,Gujarat,Mehsana,Civil Court,civil,Easement,2021-09-10,2021-09-28,2022-04-18,2022-06-10,273,8,9,30,4,0.566,0.462,10,0.545,21,3001,3,true,0.563,10,0.338,Withdrawn,Settlement,clean,false
