case_id,state,district,case_type,ipc_section,bailable,judge_seniority,pleading_complexity,pleading_sentiment,filing_date,disposal_date,judge_id,adjournment_count,backlog_size,outcome,duration_days
CAS-11518,Maharashtra,Maharashtra_District_3,Property,NA,0,19,0.85,-0.48,2019-01-09,2025-10-15,JDG-11,10,1807,Allowed,2471
CAS-11519,Karnataka,Karnataka_District_1,Commercial,NA,0,13,0.13,-0.2,2023-01-28,2030-08-22,JDG-29,22,2580,Settled,2763
CAS-11520,Delhi,Delhi_District_2,Family,NA,0,14,0.31,-0.16,2022-09-08,2029-10-13,JDG-33,10,4768,Allowed,2592
CAS-11521,Karnataka,Karnataka_District_7,Family,NA,0,2,0.49,0.57,2019-01-27,2024-09-08,JDG-39,12,1139,Dismissed,2051
CAS-11522,Maharashtra,Maharashtra_District_5,Commercial,NA,0,4,0.24,-0.16,2020-05-11,2030-01-29,JDG-30,11,5669,Settled,3550
CAS-11523,Tamil Nadu,Tamil Nadu_District_2,Commercial,NA,0,13,0.17,0.26,2022-08-21,2031-12-22,JDG-3,19,5505,Allowed,3410
CAS-11524,Uttar Pradesh,Uttar Pradesh_District_9,Property,NA,0,10,0.45,-0.22,2019-06-23,2029-08-23,JDG-14,20,4523,Allowed,3714
CAS-11525,Tamil Nadu,Tamil Nadu_District_6,Family,NA,0,14,0.51,-0.25,2021-12-26,2031-08-15,JDG-10,23,4944,Allowed,3519
CAS-11526,Karnataka,Karnataka_District_8,Criminal,302,1,23,0.25,0.63,2021-10-17,2027-10-18,JDG-4,19,956,Settled,2192
CAS-11527,Tamil Nadu,Tamil Nadu_District_7,Civil,NA,0,16,0.78,0.75,2020-04-09,2027-06-30,JDG-16,19,1716,Dismissed,2638
CAS-11528,Uttar Pradesh,Uttar Pradesh_District_4,Property,NA,0,11,0.17,0.24,2021-08-23,2029-05-05,JDG-28,11,2985,Dismissed,2812
CAS-11529,Uttar Pradesh,Uttar Pradesh_District_9,Family,NA,0,19,0.18,-0.18,2022-04-20,2031-05-02,JDG-2,24,5164,Allowed,3299
CAS-11530,Maharashtra,Maharashtra_District_8,Criminal,498A,0,10,0.74,-0.23,2022-06-16,2034-01-15,JDG-31,21,5599,Settled,4231
CAS-11531,Uttar Pradesh,Uttar Pradesh_District_5,Property,NA,0,18,0.31,-0.68,2019-08-20,2026-12-05,JDG-18,4,2916,Settled,2664
CAS-11532,Karnataka,Karnataka_District_9,Civil,NA,0,24,0.9,0.36,2021-12-09,2028-11-04,JDG-43,12,2660,Settled,2522
CAS-11533,Maharashtra,Maharashtra_District_8,Commercial,NA,0,22,0.86,0.06,2020-02-16,2024-01-13,JDG-15,5,1320,Dismissed,1427
CAS-11534,Tamil Nadu,Tamil Nadu_District_6,Family,NA,0,17,0.92,-0.65,2022-07-10,2027-11-17,JDG-6,3,2505,Allowed,1956
CAS-11535,Delhi,Delhi_District_8,Property,NA,0,15,0.14,0.39,2019-09-22,2025-02-06,JDG-9,4,1908,Allowed,1964
CAS-11536,Delhi,Delhi_District_8,Criminal,323,0,20,0.94,-0.12,2022-07-10,2028-11-13,JDG-46,13,1054,Settled,2318
CAS-11537,Tamil Nadu,Tamil Nadu_District_4,Commercial,NA,0,24,0.24,-0.07,2020-07-02,2026-01-24,JDG-3,24,610,Dismissed,2032
CAS-11538,Uttar Pradesh,Uttar Pradesh_District_2,Civil,NA,0,13,0.52,0.26,2022-01-17,2032-02-02,JDG-13,15,5999,Allowed,3668
CAS-11539,Tamil Nadu,Tamil Nadu_District_1,Property,NA,0,3,0.46,-0.62,2022-11-10,2034-08-30,JDG-35,24,5663,Allowed,4311
CAS-11540,Maharashtra,Maharashtra_District_9,Criminal,498A,1,12,0.22,0.55,2022-07-22,2030-06-12,JDG-42,17,2037,Settled,2882
CAS-11541,Delhi,Delhi_District_8,Criminal,323,0,8,0.99,0.35,2021-09-15,2031-03-17,JDG-6,19,2716,Allowed,3470
CAS-11542,Maharashtra,Maharashtra_District_3,Commercial,NA,0,6,0.52,-0.11,2019-04-22,2025-08-26,JDG-20,5,2429,Settled,2318
CAS-11543,Karnataka,Karnataka_District_3,Family,NA,0,7,0.2,-0.11,2021-10-09,2027-11-15,JDG-14,23,536,Dismissed,2228
CAS-11544,Tamil Nadu,Tamil Nadu_District_4,Family,NA,0,7,0.25,-0.15,2020-11-30,2029-11-30,JDG-18,24,4019,Dismissed,3287
CAS-11545,Uttar Pradesh,Uttar Pradesh_District_1,Commercial,NA,0,8,0.64,0.22,2022-07-28,2031-02-21,JDG-35,22,3519,Settled,3130
CAS-11546,Uttar Pradesh,Uttar Pradesh_District_1,Commercial,NA,0,19,0.28,-0.73,2022-04-11,2029-02-06,JDG-1,24,2039,Dismissed,2493
CAS-11547,Delhi,Delhi_District_9,Family,NA,0,21,0.57,-0.57,2022-05-07,2031-04-21,JDG-42,18,5117,Dismissed,3271
CAS-11548,Tamil Nadu,Tamil Nadu_District_9,Civil,NA,0,10,0.92,0.5,2022-10-28,2030-10-15,JDG-24,12,2427,Dismissed,2909
CAS-11549,Karnataka,Karnataka_District_6,Property,NA,0,4,0.21,-0.43,2020-05-19,2027-04-21,JDG-17,4,2457,Dismissed,2528
CAS-11550,Delhi,Delhi_District_8,Criminal,498A,1,17,0.87,0.33,2022-12-12,2030-04-01,JDG-33,24,1387,Allowed,2667
CAS-11551,Delhi,Delhi_District_3,Civil,NA,0,7,0.14,0.14,2021-08-05,2027-11-25,JDG-9,9,1720,Dismissed,2303
CAS-11552,Uttar Pradesh,Uttar Pradesh_District_4,Family,NA,0,18,0.78,-0.22,2020-02-13,2026-02-23,JDG-46,3,3870,Dismissed,2202
CAS-11553,Karnataka,Karnataka_District_9,Family,NA,0,18,0.62,-0.72,2020-01-29,2025-07-05,JDG-34,5,2829,Allowed,1984
CAS-11554,Karnataka,Karnataka_District_9,Criminal,323,1,14,0.78,-0.26,2022-02-08,2031-08-20,JDG-40,14,3922,Dismissed,3480
CAS-11555,Uttar Pradesh,Uttar Pradesh_District_5,Civil,NA,0,21,0.48,-0.45,2020-10-17,2028-07-10,JDG-36,18,3116,Dismissed,2823
CAS-11556,Maharashtra,Maharashtra_District_8,Commercial,NA,0,20,0.92,0.54,2019-01-17,2026-04-06,JDG-42,5,4134,Settled,2636
CAS-11557,Tamil Nadu,Tamil Nadu_District_6,Commercial,NA,0,13,0.65,0.08,2021-08-11,2031-11-29,JDG-15,21,5418,Allowed,3762
CAS-11558,Maharashtra,Maharashtra_District_9,Civil,NA,0,4,0.93,0.23,2022-07-30,2031-02-20,JDG-15,23,2049,Settled,3127
CAS-11559,Karnataka,Karnataka_District_8,Criminal,498A,0,24,0.82,-0.07,2022-01-24,2029-05-18,JDG-29,21,622,Dismissed,2671
CAS-11560,Karnataka,Karnataka_District_2,Commercial,NA,0,18,0.21,-0.01,2021-01-07,2028-01-22,JDG-31,11,4444,Allowed,2571
CAS-11561,Tamil Nadu,Tamil Nadu_District_9,Commercial,NA,0,13,0.76,-0.25,2020-10-13,2027-11-16,JDG-49,17,1335,Settled,2590
CAS-11562,Delhi,Delhi_District_6,Civil,NA,0,11,0.27,-0.69,2022-02-20,2027-07-04,JDG-36,3,1355,Allowed,1960
CAS-11563,Tamil Nadu,Tamil Nadu_District_5,Property,NA,0,5,0.76,-0.32,2020-05-01,2026-10-13,JDG-37,2,1179,Dismissed,2356
CAS-11564,Karnataka,Karnataka_District_1,Property,NA,0,24,0.95,0.63,2020-01-10,2028-04-02,JDG-41,21,1512,Dismissed,3005
CAS-11565,Karnataka,Karnataka_District_1,Civil,NA,0,14,0.26,0.26,2022-10-31,2030-07-05,JDG-31,8,4188,Allowed,2804
CAS-11566,Karnataka,Karnataka_District_5,Civil,NA,0,14,0.12,-0.01,2022-09-25,2030-02-17,JDG-4,11,3238,Allowed,2702
CAS-11567,Tamil Nadu,Tamil Nadu_District_2,Property,NA,0,11,0.14,0.65,2022-05-14,2027-09-12,JDG-12,7,625,Allowed,1947
CAS-11568,Karnataka,Karnataka_District_6,Criminal,376,1,11,0.25,-0.78,2020-09-26,2026-03-29,JDG-29,10,1312,Allowed,2010
CAS-11569,Maharashtra,Maharashtra_District_2,Commercial,NA,0,15,0.25,-0.25,2019-08-27,2029-02-28,JDG-37,20,5387,Settled,3473
CAS-11570,Uttar Pradesh,Uttar Pradesh_District_5,Criminal,420,0,10,0.22,0.77,2022-06-30,2029-12-27,JDG-32,19,1175,Settled,2737
CAS-11571,Maharashtra,Maharashtra_District_2,Civil,NA,0,2,0.96,-0.06,2022-05-31,2033-12-12,JDG-38,22,4247,Dismissed,4213
CAS-11572,Uttar Pradesh,Uttar Pradesh_District_7,Property,NA,0,5,0.8,0.62,2019-01-29,2029-12-10,JDG-37,14,4951,Settled,3968
CAS-11573,Maharashtra,Maharashtra_District_3,Civil,NA,0,14,0.14,-0.28,2020-10-18,2029-04-17,JDG-9,11,5453,Settled,3103
CAS-11574,Maharashtra,Maharashtra_District_2,Civil,NA,0,22,0.26,-0.4,2019-11-29,2025-03-06,JDG-35,20,527,Allowed,1924
CAS-11575,Delhi,Delhi_District_6,Criminal,376,0,15,0.15,-0.52,2022-07-06,2030-12-25,JDG-18,13,3692,Allowed,3094
CAS-11576,Delhi,Delhi_District_4,Criminal,376,1,14,0.81,0.12,2022-11-04,2033-12-07,JDG-2,22,5087,Dismissed,4051
CAS-11577,Karnataka,Karnataka_District_6,Criminal,376,1,17,0.13,-0.16,2021-06-20,2026-03-19,JDG-37,11,827,Allowed,1733
CAS-11578,Maharashtra,Maharashtra_District_6,Civil,NA,0,6,0.32,0.73,2022-11-22,2029-09-01,JDG-16,14,915,Dismissed,2475
CAS-11579,Maharashtra,Maharashtra_District_5,Criminal,376,1,11,0.11,0.12,2021-01-10,2026-07-05,JDG-7,4,1772,Dismissed,2002
CAS-11580,Tamil Nadu,Tamil Nadu_District_1,Commercial,NA,0,24,0.3,0.36,2021-01-16,2026-03-17,JDG-22,6,2578,Allowed,1886
CAS-11581,Tamil Nadu,Tamil Nadu_District_1,Commercial,NA,0,15,0.71,-0.33,2022-07-04,2028-08-27,JDG-32,23,1057,Settled,2246
CAS-11582,Uttar Pradesh,Uttar Pradesh_District_9,Civil,NA,0,15,0.99,0.75,2019-11-08,2027-04-06,JDG-6,8,3125,Settled,2706
CAS-11583,Karnataka,Karnataka_District_2,Criminal,498A,0,17,0.89,-0.06,2022-08-11,2031-01-04,JDG-48,16,2275,Settled,3068
CAS-11584,Delhi,Delhi_District_4,Criminal,420,1,8,0.2,0.63,2021-08-08,2029-10-01,JDG-36,5,4684,Allowed,2976
CAS-11585,Delhi,Delhi_District_6,Civil,NA,0,17,0.91,-0.72,2021-09-07,2029-09-28,JDG-25,2,4326,Dismissed,2943
CAS-11586,Delhi,Delhi_District_2,Family,NA,0,18,0.44,0.54,2022-10-09,2029-10-11,JDG-6,11,4005,Dismissed,2559
CAS-11587,Tamil Nadu,Tamil Nadu_District_6,Commercial,NA,0,16,0.61,0.74,2020-09-04,2028-10-14,JDG-38,3,5791,Settled,2962
CAS-11588,Karnataka,Karnataka_District_5,Criminal,376,0,13,0.32,-0.41,2021-07-02,2030-02-28,JDG-29,2,5187,Allowed,3163
CAS-11589,Uttar Pradesh,Uttar Pradesh_District_2,Family,NA,0,11,0.84,0.59,2021-01-01,2029-01-27,JDG-27,23,3070,Dismissed,2948
CAS-11590,Maharashtra,Maharashtra_District_4,Commercial,NA,0,17,0.63,0.11,2021-03-10,2029-01-11,JDG-10,9,4714,Dismissed,2864
CAS-11591,Karnataka,Karnataka_District_8,Commercial,NA,0,5,0.6,-0.7,2022-01-17,2027-08-20,JDG-20,17,811,Settled,2041
CAS-11592,Tamil Nadu,Tamil Nadu_District_5,Civil,NA,0,24,0.38,0.74,2022-04-22,2029-12-16,JDG-4,18,3282,Settled,2795
CAS-11593,Maharashtra,Maharashtra_District_2,Criminal,498A,0,14,0.15,-0.47,2020-05-01,2030-03-08,JDG-10,12,5778,Settled,3598
CAS-11594,Karnataka,Karnataka_District_2,Civil,NA,0,22,0.9,0.74,2021-02-15,2029-12-17,JDG-32,9,4947,Dismissed,3227
CAS-11595,Delhi,Delhi_District_9,Criminal,498A,1,19,0.93,0.33,2021-12-10,2029-06-04,JDG-5,16,2078,Allowed,2733
CAS-11596,Uttar Pradesh,Uttar Pradesh_District_7,Criminal,302,1,5,0.64,0.17,2022-06-23,2030-08-13,JDG-26,16,2174,Settled,2973
CAS-11597,Uttar Pradesh,Uttar Pradesh_District_5,Civil,NA,0,7,0.95,0.8,2021-09-09,2031-11-05,JDG-48,7,5346,Allowed,3709
CAS-11598,Maharashtra,Maharashtra_District_9,Family,NA,0,23,0.52,-0.74,2020-09-20,2026-01-29,JDG-3,23,569,Allowed,1957
CAS-11599,Delhi,Delhi_District_9,Criminal,498A,0,10,0.35,0.78,2019-04-25,2027-08-23,JDG-33,5,3573,Settled,3042
CAS-11600,Maharashtra,Maharashtra_District_1,Commercial,NA,0,12,0.8,0.43,2021-10-08,2027-11-25,JDG-46,16,1127,Settled,2239
CAS-11601,Maharashtra,Maharashtra_District_5,Family,NA,0,7,0.55,-0.12,2022-09-28,2030-04-26,JDG-4,13,3517,Allowed,2767
CAS-11602,Maharashtra,Maharashtra_District_7,Property,NA,0,22,0.66,0.12,2019-03-11,2028-06-30,JDG-9,23,4033,Dismissed,3399
CAS-11603,Delhi,Delhi_District_4,Criminal,376,0,20,0.55,0.17,2019-10-20,2028-05-07,JDG-40,2,4600,Allowed,3122
CAS-11604,Tamil Nadu,Tamil Nadu_District_1,Commercial,NA,0,14,0.14,-0.26,2019-09-03,2027-11-08,JDG-7,23,3741,Settled,2988
CAS-11605,Uttar Pradesh,Uttar Pradesh_District_8,Commercial,NA,0,10,0.75,-0.1,2019-01-17,2029-11-22,JDG-48,21,5522,Dismissed,3962
CAS-11606,Delhi,Delhi_District_6,Commercial,NA,0,22,0.16,0.6,2020-06-08,2026-06-21,JDG-38,7,3349,Allowed,2204
CAS-11607,Delhi,Delhi_District_8,Property,NA,0,12,0.9,0.08,2020-03-03,2028-10-08,JDG-35,9,3682,Settled,3141
CAS-11608,Uttar Pradesh,Uttar Pradesh_District_6,Criminal,323,1,18,0.98,0.47,2019-04-21,2025-06-21,JDG-37,12,700,Settled,2253
CAS-11609,Maharashtra,Maharashtra_District_4,Criminal,302,0,17,0.55,0.25,2022-10-25,2032-06-04,JDG-20,20,3793,Dismissed,3510
CAS-11610,Maharashtra,Maharashtra_District_3,Criminal,420,0,24,0.88,0.55,2021-09-10,2032-12-15,JDG-21,20,4964,Allowed,4114
CAS-11611,Karnataka,Karnataka_District_9,Criminal,498A,1,5,0.82,-0.49,2020-12-06,2030-04-30,JDG-29,5,4924,Dismissed,3432
CAS-11612,Karnataka,Karnataka_District_4,Property,NA,0,23,0.12,-0.33,2021-12-27,2026-01-29,JDG-48,2,607,Allowed,1494
CAS-11613,Uttar Pradesh,Uttar Pradesh_District_8,Commercial,NA,0,2,0.66,-0.15,2020-01-05,2026-11-07,JDG-45,19,1348,Settled,2498
CAS-11614,Delhi,Delhi_District_1,Criminal,302,1,4,0.96,0.02,2019-09-12,2028-10-02,JDG-38,13,3217,Dismissed,3308
CAS-11615,Tamil Nadu,Tamil Nadu_District_1,Family,NA,0,18,0.44,-0.77,2022-10-08,2029-10-01,JDG-11,3,5352,Allowed,2550
CAS-11616,Karnataka,Karnataka_District_4,Civil,NA,0,22,0.4,-0.19,2020-10-06,2025-10-13,JDG-2,2,1840,Settled,1833
CAS-11617,Delhi,Delhi_District_9,Family,NA,0,15,0.22,0.04,2023-01-22,2030-03-10,JDG-4,21,3381,Dismissed,2604
CAS-11618,Maharashtra,Maharashtra_District_6,Criminal,323,1,2,0.25,-0.6,2019-09-01,2030-02-11,JDG-40,21,4433,Dismissed,3816
CAS-11619,Karnataka,Karnataka_District_8,Property,NA,0,19,0.34,0.14,2020-11-28,2029-12-01,JDG-26,16,4096,Allowed,3290
CAS-11620,Karnataka,Karnataka_District_1,Criminal,323,1,2,0.96,0.42,2021-08-05,2030-04-15,JDG-18,10,3090,Allowed,3175
CAS-11621,Tamil Nadu,Tamil Nadu_District_9,Commercial,NA,0,2,0.64,-0.09,2022-02-11,2030-06-17,JDG-9,13,3394,Settled,3048
CAS-11622,Tamil Nadu,Tamil Nadu_District_8,Property,NA,0,11,0.73,0.33,2020-08-18,2031-07-04,JDG-10,23,5362,Allowed,3972
CAS-11623,Delhi,Delhi_District_9,Property,NA,0,14,0.16,-0.08,2020-08-09,2030-07-12,JDG-38,21,5247,Settled,3624
CAS-11624,Delhi,Delhi_District_7,Family,NA,0,6,0.17,0.78,2020-07-16,2028-04-23,JDG-37,3,5771,Dismissed,2838
CAS-11625,Uttar Pradesh,Uttar Pradesh_District_7,Commercial,NA,0,9,0.53,-0.53,2019-01-28,2027-12-26,JDG-7,20,4129,Dismissed,3254
CAS-11626,Delhi,Delhi_District_8,Criminal,498A,1,24,0.17,-0.27,2021-08-05,2029-04-05,JDG-29,16,2765,Allowed,2800
CAS-11627,Delhi,Delhi_District_2,Family,NA,0,13,0.29,-0.68,2020-08-29,2025-10-16,JDG-25,9,2202,Settled,1874
CAS-11628,Delhi,Delhi_District_3,Property,NA,0,9,0.37,0.62,2021-06-03,2028-08-16,JDG-45,19,722,Dismissed,2631
CAS-11629,Tamil Nadu,Tamil Nadu_District_2,Civil,NA,0,13,0.16,0.08,2022-04-13,2030-10-20,JDG-31,23,2309,Dismissed,3112
CAS-11630,Maharashtra,Maharashtra_District_7,Property,NA,0,14,0.85,0.07,2022-10-26,2033-05-20,JDG-48,13,5033,Dismissed,3859
CAS-11631,Delhi,Delhi_District_4,Property,NA,0,10,0.38,-0.54,2022-09-12,2031-11-15,JDG-18,18,3871,Dismissed,3351
CAS-11632,Tamil Nadu,Tamil Nadu_District_6,Property,NA,0,8,0.32,-0.28,2020-08-21,2029-08-07,JDG-5,21,2417,Allowed,3273
CAS-11633,Maharashtra,Maharashtra_District_7,Civil,NA,0,11,0.97,0.71,2020-11-26,2028-03-27,JDG-9,20,891,Dismissed,2678
CAS-11634,Tamil Nadu,Tamil Nadu_District_6,Criminal,498A,0,12,0.19,-0.8,2021-02-28,2031-10-11,JDG-3,16,5273,Allowed,3877
CAS-11635,Delhi,Delhi_District_6,Civil,NA,0,15,0.25,-0.45,2021-09-23,2028-11-12,JDG-41,3,4222,Dismissed,2607
CAS-11636,Maharashtra,Maharashtra_District_6,Criminal,323,1,18,0.44,0.56,2019-02-05,2025-01-26,JDG-21,5,2574,Dismissed,2182
CAS-11637,Maharashtra,Maharashtra_District_3,Family,NA,0,4,0.99,0.33,2022-12-11,2032-06-01,JDG-23,22,4717,Dismissed,3460
CAS-11638,Karnataka,Karnataka_District_3,Criminal,498A,0,18,0.29,-0.5,2021-03-14,2028-12-20,JDG-35,11,2827,Allowed,2838
CAS-11639,Delhi,Delhi_District_9,Criminal,498A,1,22,0.83,-0.12,2020-03-05,2028-09-24,JDG-41,13,4838,Settled,3125
CAS-11640,Maharashtra,Maharashtra_District_6,Family,NA,0,5,0.34,-0.57,2021-03-14,2027-09-01,JDG-33,18,2065,Settled,2362
CAS-11641,Delhi,Delhi_District_4,Commercial,NA,0,24,0.25,-0.04,2023-01-01,2027-12-03,JDG-44,18,684,Settled,1797
CAS-11642,Uttar Pradesh,Uttar Pradesh_District_1,Property,NA,0,16,0.46,0.71,2019-02-12,2026-04-12,JDG-41,3,3293,Dismissed,2616
CAS-11643,Karnataka,Karnataka_District_3,Criminal,420,1,20,0.68,-0.43,2019-05-10,2024-04-24,JDG-10,3,1326,Dismissed,1811
CAS-11644,Tamil Nadu,Tamil Nadu_District_1,Criminal,302,0,13,0.65,-0.12,2023-01-18,2030-01-14,JDG-33,7,2133,Dismissed,2553
CAS-11645,Tamil Nadu,Tamil Nadu_District_7,Criminal,376,0,12,0.86,0.37,2022-09-22,2032-02-17,JDG-34,15,3251,Allowed,3435
CAS-11646,Tamil Nadu,Tamil Nadu_District_3,Commercial,NA,0,23,0.24,-0.71,2019-08-13,2029-05-03,JDG-42,23,5171,Allowed,3551
CAS-11647,Tamil Nadu,Tamil Nadu_District_2,Property,NA,0,16,0.4,-0.01,2023-01-20,2032-08-01,JDG-18,5,5974,Dismissed,3481
CAS-11648,Tamil Nadu,Tamil Nadu_District_6,Commercial,NA,0,2,0.72,0.55,2019-07-07,2026-07-17,JDG-31,5,2789,Settled,2567
CAS-11649,Uttar Pradesh,Uttar Pradesh_District_6,Civil,NA,0,3,0.55,-0.2,2020-11-14,2032-01-26,JDG-29,21,5904,Settled,4090
CAS-11650,Karnataka,Karnataka_District_6,Civil,NA,0,6,0.27,0.44,2020-07-12,2027-12-21,JDG-25,11,2114,Dismissed,2718
CAS-11651,Delhi,Delhi_District_9,Commercial,NA,0,22,0.83,-0.4,2021-12-02,2030-07-17,JDG-10,20,3054,Dismissed,3149
CAS-11652,Uttar Pradesh,Uttar Pradesh_District_7,Property,NA,0,3,0.91,0.03,2021-03-17,2029-07-27,JDG-41,10,2658,Allowed,3054
CAS-11653,Tamil Nadu,Tamil Nadu_District_2,Criminal,302,0,19,0.43,-0.47,2020-02-29,2026-11-08,JDG-10,12,1974,Allowed,2444
CAS-11654,Karnataka,Karnataka_District_3,Criminal,376,1,5,0.46,-0.22,2019-10-29,2027-08-24,JDG-6,18,1850,Dismissed,2856
CAS-11655,Uttar Pradesh,Uttar Pradesh_District_9,Commercial,NA,0,18,0.96,0.13,2020-03-20,2030-02-11,JDG-24,21,5667,Allowed,3615
CAS-11656,Delhi,Delhi_District_7,Criminal,376,1,10,0.56,0.14,2022-11-17,2030-02-14,JDG-45,2,3396,Settled,2646
CAS-11657,Karnataka,Karnataka_District_3,Criminal,498A,1,7,0.78,0.03,2020-06-12,2030-12-12,JDG-48,10,4934,Dismissed,3835
CAS-11658,Maharashtra,Maharashtra_District_6,Property,NA,0,13,0.28,-0.61,2021-12-11,2029-02-10,JDG-15,9,2851,Allowed,2618
CAS-11659,Tamil Nadu,Tamil Nadu_District_6,Family,NA,0,10,0.22,0.15,2021-10-16,2028-03-03,JDG-9,6,3618,Allowed,2330
CAS-11660,Karnataka,Karnataka_District_5,Family,NA,0,17,0.84,0.39,2023-01-19,2030-06-06,JDG-17,15,3105,Allowed,2695
CAS-11661,Maharashtra,Maharashtra_District_3,Civil,NA,0,18,0.51,0.31,2021-11-03,2029-07-07,JDG-39,3,4300,Settled,2803
CAS-11662,Karnataka,Karnataka_District_1,Civil,NA,0,11,0.19,-0.18,2020-07-14,2025-09-01,JDG-27,6,1681,Allowed,1875
CAS-11663,Karnataka,Karnataka_District_7,Property,NA,0,20,0.16,-0.37,2019-07-26,2025-05-31,JDG-43,13,1570,Allowed,2136
CAS-11664,Karnataka,Karnataka_District_3,Family,NA,0,16,0.3,-0.39,2021-12-08,2030-04-20,JDG-3,13,5210,Settled,3055
CAS-11665,Tamil Nadu,Tamil Nadu_District_2,Criminal,420,0,11,0.65,0.04,2020-06-17,2028-11-01,JDG-17,11,2578,Dismissed,3059
CAS-11666,Delhi,Delhi_District_1,Property,NA,0,14,0.36,-0.55,2022-11-30,2031-10-05,JDG-45,16,3232,Settled,3231
CAS-11667,Karnataka,Karnataka_District_5,Property,NA,0,13,0.13,0.64,2020-10-01,2028-05-17,JDG-39,12,3425,Settled,2785
CAS-11668,Karnataka,Karnataka_District_6,Commercial,NA,0,17,0.82,0.62,2021-03-04,2028-03-14,JDG-3,3,3908,Dismissed,2567
CAS-11669,Tamil Nadu,Tamil Nadu_District_8,Commercial,NA,0,7,0.66,-0.3,2021-10-11,2028-04-25,JDG-34,5,2889,Settled,2388
CAS-11670,Delhi,Delhi_District_2,Property,NA,0,3,0.56,0.37,2021-09-11,2027-04-24,JDG-1,5,513,Dismissed,2051
CAS-11671,Maharashtra,Maharashtra_District_5,Criminal,376,0,19,0.97,0.77,2022-06-13,2030-03-22,JDG-35,18,2325,Dismissed,2839
CAS-11672,Karnataka,Karnataka_District_5,Family,NA,0,16,0.77,0.26,2021-11-11,2030-05-03,JDG-44,24,3509,Dismissed,3095
CAS-11673,Karnataka,Karnataka_District_3,Property,NA,0,4,0.82,0.31,2021-02-02,2029-01-21,JDG-27,14,1070,Settled,2910
CAS-11674,Uttar Pradesh,Uttar Pradesh_District_7,Commercial,NA,0,12,0.69,0.47,2019-04-08,2025-02-16,JDG-47,17,1135,Settled,2141
CAS-11675,Uttar Pradesh,Uttar Pradesh_District_7,Civil,NA,0,4,0.19,-0.75,2019-12-18,2029-08-23,JDG-44,18,4751,Allowed,3536
CAS-11676,Tamil Nadu,Tamil Nadu_District_2,Commercial,NA,0,19,0.63,-0.24,2022-04-07,2029-04-10,JDG-10,24,2519,Dismissed,2560
CAS-11677,Maharashtra,Maharashtra_District_3,Civil,NA,0,2,0.98,0.02,2022-04-04,2029-07-30,JDG-4,11,1923,Dismissed,2674
CAS-11678,Tamil Nadu,Tamil Nadu_District_6,Civil,NA,0,14,0.52,-0.77,2021-10-25,2031-04-07,JDG-5,23,3412,Dismissed,3451
CAS-11679,Delhi,Delhi_District_8,Criminal,376,1,12,0.81,-0.77,2021-04-19,2029-10-01,JDG-6,23,2062,Dismissed,3087
CAS-11680,Uttar Pradesh,Uttar Pradesh_District_9,Criminal,323,0,23,0.29,0.35,2020-11-11,2026-06-15,JDG-44,5,1120,Allowed,2042
CAS-11681,Maharashtra,Maharashtra_District_8,Family,NA,0,10,0.54,-0.1,2019-06-17,2025-11-02,JDG-39,2,3805,Allowed,2330
CAS-11682,Uttar Pradesh,Uttar Pradesh_District_8,Family,NA,0,18,0.49,-0.76,2021-03-03,2027-11-17,JDG-46,11,3630,Allowed,2450
CAS-11683,Tamil Nadu,Tamil Nadu_District_2,Commercial,NA,0,21,0.14,0.52,2022-01-21,2026-12-29,JDG-12,4,2544,Settled,1803
CAS-11684,Tamil Nadu,Tamil Nadu_District_3,Family,NA,0,6,0.92,-0.07,2022-08-18,2030-01-21,JDG-49,10,2845,Settled,2713
CAS-11685,Uttar Pradesh,Uttar Pradesh_District_9,Commercial,NA,0,6,0.71,0.74,2020-04-10,2030-04-13,JDG-23,18,5061,Allowed,3655
CAS-11686,Maharashtra,Maharashtra_District_3,Criminal,323,1,18,0.13,-0.58,2022-06-17,2031-05-24,JDG-20,12,4963,Allowed,3263
CAS-11687,Delhi,Delhi_District_4,Criminal,498A,1,12,0.42,0.09,2020-08-28,2027-07-10,JDG-26,20,816,Dismissed,2507
CAS-11688,Karnataka,Karnataka_District_3,Property,NA,0,7,0.99,-0.53,2020-06-06,2028-08-11,JDG-36,7,3477,Dismissed,2988
CAS-11689,Uttar Pradesh,Uttar Pradesh_District_8,Civil,NA,0,17,0.99,0.72,2021-10-14,2030-09-24,JDG-21,23,2396,Settled,3267
CAS-11690,Karnataka,Karnataka_District_6,Commercial,NA,0,7,0.64,0.22,2019-12-24,2029-04-21,JDG-38,17,5006,Allowed,3406
CAS-11691,Karnataka,Karnataka_District_4,Commercial,NA,0,3,0.74,-0.21,2021-03-05,2028-12-11,JDG-15,14,2473,Dismissed,2838
CAS-11692,Maharashtra,Maharashtra_District_5,Family,NA,0,11,0.63,0.66,2022-03-24,2030-10-11,JDG-10,11,5490,Settled,3123
CAS-11693,Karnataka,Karnataka_District_7,Property,NA,0,17,0.75,-0.12,2020-01-12,2027-11-09,JDG-38,20,1509,Allowed,2858
CAS-11694,Karnataka,Karnataka_District_6,Family,NA,0,24,0.37,-0.44,2019-05-03,2023-04-07,JDG-36,4,1470,Dismissed,1435
CAS-11695,Uttar Pradesh,Uttar Pradesh_District_6,Criminal,376,1,19,0.61,0.36,2020-04-20,2026-06-08,JDG-12,18,736,Dismissed,2240
